"subj_idx","level","absLevel","levelMean","periodicity","nEvents","rt","response"
1,4,4,7.38,"Aperiodic",4,1.047,1
1,-4,4,-7.38,"Aperiodic",5,1.304,1
1,-2,2,-3.69,"Periodic",5,1.658,0
1,-2,2,-3.69,"Aperiodic",8,2.351,1
1,-2,2,-3.69,"Periodic",10,3.116,1
1,1,1,1.845,"Aperiodic",7,2.255,1
1,1,1,1.845,"Aperiodic",8,2.345,1
1,2,2,3.69,"Aperiodic",8,2.422,1
1,-1,1,-1.845,"Periodic",15,4.736,1
1,2,2,3.69,"Aperiodic",9,3.114,1
1,1,1,1.845,"Periodic",10,3.043,0
1,1,1,1.845,"Periodic",5,1.432,0
1,2,2,3.69,"Aperiodic",10,3.103,1
1,2,2,3.69,"Periodic",8,2.623,1
1,4,4,7.38,"Aperiodic",8,2.271,1
1,1,1,1.845,"Aperiodic",13,4.355,1
1,-4,4,-7.38,"Aperiodic",5,1.205,1
1,-1,1,-1.845,"Periodic",11,3.596,1
1,-2,2,-3.69,"Periodic",9,2.888,1
1,4,4,7.38,"Aperiodic",4,1.117,1
1,-4,4,-7.38,"Periodic",5,1.379,1
1,-1,1,-1.845,"Aperiodic",6,2.098,1
1,4,4,7.38,"Periodic",7,2.286,1
1,2,2,3.69,"Periodic",8,2.538,1
1,-2,2,-3.69,"Aperiodic",10,2.93,1
1,-2,2,-3.69,"Aperiodic",9,2.582,1
1,-2,2,-3.69,"Aperiodic",8,2.532,1
1,-1,1,-1.845,"Periodic",10,3.162,1
1,-1,1,-1.845,"Aperiodic",7,2.286,0
1,1,1,1.845,"Aperiodic",8,2.433,1
1,1,1,1.845,"Periodic",10,3.28,0
1,-4,4,-7.38,"Periodic",5,1.42,1
1,4,4,7.38,"Periodic",6,1.933,1
1,-2,2,-3.69,"Aperiodic",10,3.122,1
1,-4,4,-7.38,"Aperiodic",6,1.819,1
1,2,2,3.69,"Periodic",7,2.041,1
1,1,1,1.845,"Periodic",7,2.325,1
1,-1,1,-1.845,"Periodic",6,1.927,0
1,2,2,3.69,"Aperiodic",10,3.137,1
1,-4,4,-7.38,"Periodic",8,2.572,1
1,4,4,7.38,"Periodic",6,1.774,1
1,-4,4,-7.38,"Periodic",4,1.276,1
1,2,2,3.69,"Periodic",6,1.737,1
1,1,1,1.845,"Aperiodic",6,1.752,1
1,2,2,3.69,"Aperiodic",7,2.163,1
1,4,4,7.38,"Periodic",6,1.977,1
1,4,4,7.38,"Aperiodic",9,2.496,1
1,-1,1,-1.845,"Aperiodic",11,3.761,1
1,-2,2,-3.69,"Periodic",10,3.126,1
1,-1,1,-1.845,"Aperiodic",5,1.153,1
1,-4,4,-7.38,"Periodic",5,1.587,1
1,4,4,7.38,"Periodic",4,1.071,1
1,-4,4,-7.38,"Aperiodic",8,2.816,1
1,4,4,7.38,"Aperiodic",4,0.967,1
1,-2,2,-3.69,"Periodic",5,1.448,0
1,-4,4,-7.38,"Aperiodic",3,0.806,1
1,-1,1,-1.845,"Periodic",10,3.085,1
1,2,2,3.69,"Periodic",9,2.865,1
1,1,1,1.845,"Periodic",5,1.656,1
1,-1,1,-1.845,"Aperiodic",5,1.3,1
1,4,4,7.38,"Periodic",7,2.272,1
1,1,1,1.845,"Aperiodic",6,1.999,1
1,2,2,3.69,"Periodic",6,1.717,1
1,-2,2,-3.69,"Aperiodic",5,1.417,1
1,-4,4,-7.38,"Aperiodic",3,1.026,1
1,-1,1,-1.845,"Periodic",4,1.034,1
1,1,1,1.845,"Periodic",4,1.295,1
1,-1,1,-1.845,"Aperiodic",5,1.47,0
1,1,1,1.845,"Periodic",4,1.039,1
1,1,1,1.845,"Aperiodic",5,1.247,1
1,2,2,3.69,"Periodic",3,0.725,1
1,2,2,3.69,"Aperiodic",5,1.545,1
1,2,2,3.69,"Periodic",7,2.145,1
1,-1,1,-1.845,"Aperiodic",6,1.823,1
1,2,2,3.69,"Periodic",5,1.37,1
1,-2,2,-3.69,"Aperiodic",4,1.226,1
1,1,1,1.845,"Aperiodic",7,2.392,1
1,2,2,3.69,"Aperiodic",10,3.1,1
1,-2,2,-3.69,"Aperiodic",6,2.256,1
1,-2,2,-3.69,"Periodic",5,1.608,1
1,4,4,7.38,"Periodic",5,1.618,1
1,-4,4,-7.38,"Aperiodic",5,1.637,1
1,4,4,7.38,"Periodic",5,1.393,1
