"subj_idx","level","absLevel","levelMean","periodicity","nEvents","rt","response"
1,-2,2,-3.69,"Aperiodic",10,2.93,0
1,-2,2,-3.69,"Aperiodic",9,2.582,0
1,0,0,0,"Periodic",12,3.864,0
1,-2,2,-3.69,"Aperiodic",8,2.532,0
1,0,0,0,"Periodic",9,2.703,0
1,-1,1,-1.845,"Periodic",10,3.162,0
1,-1,1,-1.845,"Aperiodic",7,2.286,1
1,1,1,1.845,"Aperiodic",8,2.433,1
1,0,0,0,"Aperiodic",13,4.156,0
1,1,1,1.845,"Periodic",10,3.28,0
1,-4,4,-7.38,"Periodic",5,1.42,0
1,4,4,7.38,"Periodic",6,1.933,1
1,0,0,0,"Periodic",12,3.726,0
1,-2,2,-3.69,"Aperiodic",10,3.122,0
1,-4,4,-7.38,"Aperiodic",6,1.819,0
1,2,2,3.69,"Periodic",7,2.041,1
1,1,1,1.845,"Periodic",7,2.325,1
1,-1,1,-1.845,"Periodic",6,1.927,1
1,2,2,3.69,"Aperiodic",10,3.137,1
1,-4,4,-7.38,"Periodic",8,2.572,0
1,4,4,7.38,"Periodic",6,1.774,1
1,-4,4,-7.38,"Periodic",4,1.276,0
1,0,0,0,"Periodic",8,2.664,0
1,2,2,3.69,"Periodic",6,1.737,1
1,1,1,1.845,"Aperiodic",6,1.752,1
1,0,0,0,"Aperiodic",8,2.251,0
1,2,2,3.69,"Aperiodic",7,2.163,1
1,4,4,7.38,"Periodic",6,1.977,1
1,4,4,7.38,"Aperiodic",9,2.496,1
1,-1,1,-1.845,"Aperiodic",11,3.761,0
1,-2,2,-3.69,"Periodic",10,3.126,0
1,-1,1,-1.845,"Aperiodic",5,1.153,0
1,0,0,0,"Aperiodic",6,1.818,0
1,-4,4,-7.38,"Periodic",5,1.587,0
1,0,0,0,"Aperiodic",5,1.516,1
1,4,4,7.38,"Periodic",4,1.071,1
1,-4,4,-7.38,"Aperiodic",8,2.816,0
1,4,4,7.38,"Aperiodic",4,0.967,1
1,-2,2,-3.69,"Periodic",5,1.448,1
1,-4,4,-7.38,"Aperiodic",3,0.806,0
1,-1,1,-1.845,"Periodic",10,3.085,0
1,2,2,3.69,"Periodic",9,2.865,1
1,0,0,0,"Aperiodic",7,2.418,1
1,1,1,1.845,"Periodic",5,1.656,1
