Parameter,mean,std,2.5q,25q,50q,75q,97.5q,mc err
v_subj(-2.Periodic).8,-0.77892161764460766,0.15177769522887283,-1.0795112268264155,-0.88026454794727016,-0.77715102677198877,-0.67646305520206429,-0.48347887602846851,0.0018409227156545732
v_subj(-2.Periodic).9,-1.1426549971187188,0.16000166862819884,-1.4597682337900475,-1.2498624547192339,-1.1400058932220543,-1.0335627914441665,-0.83378194434685149,0.0017108358774204149
v_subj(-2.Periodic).10,-1.0119209776905935,0.17409453558847801,-1.3679792021019825,-1.1298052713819806,-1.0081963710461137,-0.89085019448514924,-0.68258472913501,0.0020797323202909539
v_subj(-2.Periodic).11,-0.72134888866679814,0.16803453774345678,-1.04960971800995,-0.83452897550016114,-0.71906708288925492,-0.60802605114002062,-0.39538123923525559,0.0019868748212740527
v_subj(-2.Periodic).12,-0.91213767351231667,0.1649475917844479,-1.2379120150634126,-1.0211868647692457,-0.90843085505344034,-0.80165105211409826,-0.59063250818497148,0.001723820382680202
v_subj(-2.Periodic).13,-0.29768790995938182,0.093021958175566077,-0.48291037767013989,-0.35954541724858846,-0.29602571297448632,-0.2345310012045192,-0.1191678079452303,0.00098257952573899067
v_subj(-2.Periodic).14,-0.88149430705855625,0.17528056455420202,-1.2324251345622423,-0.99777478309209278,-0.88018236786620285,-0.76425023382160751,-0.54200433812218662,0.001712115406080102
v_subj(-2.Periodic).15,-0.66845374561020554,0.15171581263931364,-0.97840297251953512,-0.77091634284050681,-0.6644646155605447,-0.56465138055066166,-0.38125076988562001,0.001677019188687856
v_subj(-2.Periodic).16,-0.89707402510641043,0.14772633421431869,-1.1855751332471407,-0.9951737692003213,-0.89727918382732741,-0.79724979048504907,-0.61167197239458915,0.0015918559042511036
v_subj(-2.Periodic).17,-0.43294402464657378,0.1132987098666572,-0.65767180464178576,-0.50907233379184724,-0.43318358787941946,-0.35618049450677286,-0.21351408779121495,0.0012999233860808176
v_subj(-2.Periodic).18,-0.91221223680398345,0.16363157858726005,-1.2384075634018492,-1.023195576387399,-0.90947375916145135,-0.80002214046018372,-0.59789343583006671,0.0016663042521583341
v_subj(-2.Periodic).19,-0.6668569310336192,0.12716487147723718,-0.9233179507777266,-0.7523298421458231,-0.6635530245967356,-0.58085888273607145,-0.42630903145129473,0.0010707511028851982
v_subj(-2.Periodic).20,-1.263288449513676,0.18635552662675123,-1.6308037733294185,-1.3873634598003739,-1.2592068742026357,-1.1360150751932065,-0.90844675175912748,0.0022069123316042554
v_subj(-1.Aperiodic).1,-0.25521894290650615,0.11554502174865457,-0.48394607937719258,-0.33293304570168719,-0.25416354885166592,-0.17706370295239254,-0.031187908730224367,0.0012047105626449926
v_subj(-1.Aperiodic).2,-0.6683152268620759,0.18497730669000087,-1.0454656632417916,-0.79164398705432282,-0.66320299492817114,-0.5410977142993465,-0.32097144596775928,0.0020191391330957398
v_subj(-1.Aperiodic).3,-0.59458280374067074,0.10195835053867268,-0.79581380827858139,-0.66365507708595251,-0.59398123163419414,-0.52417188007875604,-0.39917527611259618,0.0011515816316997698
v_subj(-1.Aperiodic).4,-0.30495952515411573,0.12318232197016424,-0.54936463245782685,-0.38689000674797258,-0.30320913691493434,-0.22174625955082461,-0.067233757241903946,0.0011860093110143966
v_subj(-1.Aperiodic).5,-0.33771799891041526,0.11090971277951463,-0.5591667760387713,-0.41215059124589726,-0.33669858440682704,-0.26152269669568695,-0.12340565815297377,0.0012649886602757096
v_subj(-1.Aperiodic).6,-0.56923588894374522,0.10987273387897717,-0.78903524218824228,-0.6430007190504714,-0.56959327798505188,-0.49461928332745009,-0.35480980179150079,0.0011775878443219033
v_subj(-1.Aperiodic).7,-0.26532946321294565,0.13323091527051856,-0.53048692582429369,-0.35535032146690881,-0.26364082601137295,-0.17547233013117375,-0.0045705191468576878,0.0013788551138747785
v_subj(-1.Aperiodic).8,-0.066273208119675603,0.10195655101787914,-0.26961260538070297,-0.13438898369561225,-0.065354892674131637,0.0022366860500490637,0.12910892432419491,0.0011012091447380158
v_subj(-1.Aperiodic).9,-0.54647310532785565,0.13675484106081134,-0.81998288398257646,-0.63885923146342183,-0.54517732017555121,-0.4532645858349062,-0.28429083479121808,0.0016165432237823893
v_subj(-1.Aperiodic).10,-0.10281143041550259,0.099279697910819018,-0.29973964975638878,-0.16928001270911391,-0.10236225265324596,-0.036781934841327635,0.090359488898446583,0.0010409932377335005
v_subj(-1.Aperiodic).11,0.027727220041273943,0.14037133758220843,-0.24666084039142727,-0.066333638128551475,0.027215513320481749,0.12177541750730347,0.30393486886291066,0.0015063891355215026
v_subj(-1.Aperiodic).12,-0.16676420562979102,0.13683509503890337,-0.43687339244435397,-0.26006228618574667,-0.16609361523813138,-0.071900073142408094,0.095588381717653381,0.0013725360721219743
v_subj(-1.Aperiodic).13,-0.096378578428058068,0.091015850500044987,-0.27550052005508607,-0.15878275265138914,-0.097060806272849298,-0.035124558391769839,0.080239688210025917,0.00086531203065283826
v_subj(-1.Aperiodic).14,-0.38498363220262438,0.15193553070036916,-0.68418594907215247,-0.48834115764200137,-0.38378835826458246,-0.28254874596082635,-0.088246225165676817,0.0014871155412862238
